t,S,I,R 
0,0.99,0.01,0.0 
1,0.9868660637368389,0.011020193928792691,0.002113742334368502 
2,0.9834255917921251,0.01213243000299223,0.0044419782048829345 
3,0.9796538078834183,0.01334239514416498,0.0070037969724170545 
4,0.9755250270268138,0.014655552173051875,0.009819420800134558 
5,0.9710128777357591,0.016076976953073426,0.012910145311167635 
6,0.9660906007749941,0.01761117830917834,0.0162982209158276 
7,0.960731382849795,0.0192618826562248,0.020006734493980344 
8,0.954908776437292,0.021031796854242293,0.024059426708465767 
9,0.9485972001980755,0.02292234096293655,0.028480458838987928 
10,0.9417725383871428,0.024933347880140472,0.03329411373271665 
11,0.9344127395427232,0.027062792277993308,0.03852446817928349 
12,0.9264985507089625,0.029306472515693092,0.04419497677534438 
13,0.9180142754907425,0.03165772220018958,0.05032800230906769 
14,0.9089485548207042,0.03410714924717928,0.056944295932116314 
15,0.8992951558086856,0.0366424184821342,0.06406242570917993 
16,0.8890537281461277,0.0392481015145429,0.07169817033932911 
17,0.8782305024258463,0.04190561326786644,0.07986388430628699 
18,0.8668388671368796,0.04459326607975572,0.08856786678336442 
19,0.8548997980790378,0.047286447453691455,0.09781375446727057 
20,0.8424421055970405,0.049957932192823164,0.10759996221013615 
21,0.8295024627713262,0.05257833978351524,0.1179191974451583 
22,0.8161251704012625,0.055116743477702936,0.12875808612103434 
23,0.8023616579530466,0.0575414023924825,0.14009693965447076 
24,0.7882697514548618,0.059820581671992216,0.1519096668731459 
25,0.7739126903679325,0.061923448359716374,0.16416386127235094 
26,0.7593579298653845,0.0638209947464133,0.17682107538820208 
27,0.7446757797246901,0.06548692812316087,0.1898372921521489 
28,0.7299379754524294,0.06689848192933588,0.2031635426182346 
29,0.7152161955157448,0.06803711703102444,0.2167466874532307 
30,0.7005806063331224,0.068889067692632,0.23053032597424566 
31,0.6860985132230515,0.06944568337556037,0.2444558034013882 
32,0.6718331706862084,0.06970357496087363,0.25846325435291795 
33,0.6578427719745197,0.06966456979110826,0.27249265823437196 
34,0.6441796519866709,0.069335482394515,0.28648486561881403 
35,0.6308897347079255,0.06872769606698126,0.30038256922509315 
36,0.6180122057093139,0.06785662685818246,0.3141311674325036 
37,0.6055794029351868,0.06674108283732348,0.32767951422748975 
38,0.5936169022641988,0.06540256583391661,0.34098053190188454 
39,0.5821437688291169,0.0638645506097408,0.3539916805611424 
40,0.5711729398101919,0.06215177573905519,0.366675284450753 
41,0.5607117075731519,0.060289574393532316,0.3789987180333159 
42,0.5507622701381673,0.05830326676613982,0.390934463095693 
43,0.5413223226072412,0.05621763317914339,0.4024600442136154 
44,0.5323856489499392,0.05405646651954684,0.41355788453051395 
45,0.5239427155225351,0.05184221748480052,0.4242150669926644 
46,0.5159812383237823,0.04959572673523114,0.4344230349409866 
47,0.5084867137942417,0.04733603896078092,0.4441772472449774 
48,0.5014429042958558,0.04508029091033304,0.45347680479381125 
49,0.4948322749504575,0.04284366290350317,0.46232406214603944 
50,0.4886363809474661,0.04063938679340931,0.4707242322591247 
51,0.48283620503364655,0.038478800449651,0.47868499451670254 
52,0.4774124417126345,0.036371427608846645,0.48621613067851893 
53,0.47234574444048616,0.034325089324515085,0.49332916623499884 
54,0.46761692407067224,0.032346038399428415,0.5000370375298995 
55,0.46320711606456877,0.03043908862456839,0.5063537953108631 
56,0.459097909362215,0.028607765359360736,0.5122943252784244 
57,0.455271447495978,0.026854447127074008,0.5178741053769482 
